FECHA,DEM,TMAX,TMIN,FEST,ANNO,MES,DIA,DIASEM
01/01/2014,695.15,14.5,4.9,1,2014,1,1,4
02/01/2014,848.52,17.9,8.3,0,2014,1,2,5
03/01/2014,842.25,18,10.8,0,2014,1,3,6
04/01/2014,790.87,14.8,9.9,0,2014,1,4,7
05/01/2014,765.88,15.5,8.3,0,2014,1,5,1
06/01/2014,739.13,16.3,8.9,1,2014,1,6,2
07/01/2014,893.45,16.8,8.3,0,2014,1,7,3
08/01/2014,929.9,15.3,7.3,0,2014,1,8,4
09/01/2014,961.71,12.9,5.4,0,2014,1,9,5
10/01/2014,974.75,13,9.1,0,2014,1,10,6
11/01/2014,839.59,14.3,8.7,0,2014,1,11,7
12/01/2014,798.24,16.7,11.3,0,2014,1,12,1
13/01/2014,987.75,14.9,9.7,0,2014,1,13,2
14/01/2014,1011.09,13.8,6.7,0,2014,1,14,3
15/01/2014,998.52,13.1,6,0,2014,1,15,4
16/01/2014,980.58,14.8,8.7,0,2014,1,16,5
17/01/2014,1000.65,15.5,8.3,0,2014,1,17,6
18/01/2014,871.15,15.8,5.9,0,2014,1,18,7
19/01/2014,853.6,13.8,9.3,0,2014,1,19,1
20/01/2014,1041.64,13.8,7.8,0,2014,1,20,2
21/01/2014,1055.65,15,5.4,0,2014,1,21,3
22/01/2014,1043.08,9,4.8,0,2014,1,22,4
23/01/2014,1030.7,14.1,6.7,0,2014,1,23,5
24/01/2014,1005.09,16.3,6.1,0,2014,1,24,6
25/01/2014,818.24,14.4,10.7,0,2014,1,25,7
26/01/2014,752.98,18.8,8.1,0,2014,1,26,1
27/01/2014,955.5,17.4,12.4,0,2014,1,27,2
28/01/2014,1034.23,13.4,6.9,0,2014,1,28,3
29/01/2014,1030.63,14.3,6.3,0,2014,1,29,4
30/01/2014,1050.59,14.3,6.8,0,2014,1,30,5
31/01/2014,1021.77,13,5,0,2014,1,31,6
01/02/2014,865.61,15,8,0,2014,2,1,7
02/02/2014,849.23,14.8,3.7,0,2014,2,2,1
03/02/2014,1065.3,13.4,3.5,0,2014,2,3,2
04/02/2014,1074.22,13.8,5.3,0,2014,2,4,3
05/02/2014,995.98,18,9.8,0,2014,2,5,4
