PERIODO;VALOR;TIPO DATO;ANNO
2021T4;2,2222;Provisional;2021
2021T3;2,6058;Provisional;2021
2021T2;1,1285;Provisional;2021
2021T1;-0,5028;Provisional;2021
2020T4;0,2226;Provisional;2020
2020T3;16,7984;Provisional;2020
2020T2;-17,6521;Provisional;2020
2020T1;-5,3911;Provisional;2020
2019T4;0,3764;Provisional;2019
2019T3;0,3791;Provisional;2019
2019T2;0,3657;Provisional;2019
2019T1;0,6013;Provisional;2019
2018T4;0,6747;Definitivo;2018
2018T3;0,5177;Definitivo;2018
2018T2;0,5863;Definitivo;2018
2018T1;0,3776;Definitivo;2018
2017T4;0,6258;Definitivo;2017
2017T3;0,5773;Definitivo;2017
2017T2;1,0737;Definitivo;2017
2017T1;0,794;Definitivo;2017
2016T4;0,4645;Definitivo;2016
2016T3;0,8869;Definitivo;2016
2016T2;0,4196;Definitivo;2016
2016T1;0,6778;Definitivo;2016
2015T4;0,9688;Definitivo;2015
2015T3;0,91;Definitivo;2015
2015T2;1,073;Definitivo;2015
2015T1;1,1474;Definitivo;2015
2014T4;0,8583;Definitivo;2014
2014T3;0,7401;Definitivo;2014
2014T2;0,4635;Definitivo;2014
2014T1;0,3673;Definitivo;2014
