FECHA,DEM,TMAX,TMIN,FEST,ANNO,MES,DIA,DIASEM
01/01/2014,537.9695,9.9,7,1,2014,1,1,4
02/01/2014,657.0184,12.3,8.9,0,2014,1,2,5
03/01/2014,663.435,13.4,11,0,2014,1,3,6
04/01/2014,617.2326,11,9.5,0,2014,1,4,7
05/01/2014,604.9812,9.1,3.7,0,2014,1,5,1
06/01/2014,558.5042,11.9,7.3,1,2014,1,6,2
07/01/2014,693.4239,14.4,8,0,2014,1,7,3
08/01/2014,721.6674,14.8,4.4,0,2014,1,8,4
09/01/2014,731.4512,14.9,2.5,0,2014,1,9,5
10/01/2014,730.4361,15,2.7,0,2014,1,10,6
11/01/2014,670.211,14.1,5.8,0,2014,1,11,7
12/01/2014,614.1564,8.4,2.1,0,2014,1,12,1
13/01/2014,737.0933,11.4,7.4,0,2014,1,13,2
14/01/2014,743.8104,13.1,6,0,2014,1,14,3
15/01/2014,744.1551,10.5,6.5,0,2014,1,15,4
16/01/2014,759.5878,10.4,7.4,0,2014,1,16,5
17/01/2014,755.2191,9.4,3.1,0,2014,1,17,6
18/01/2014,674.4092,10.1,6.3,0,2014,1,18,7
19/01/2014,636.8603,9,3.3,0,2014,1,19,1
20/01/2014,755.2802,10.5,4,0,2014,1,20,2
21/01/2014,778.0902,10,-1.6,0,2014,1,21,3
22/01/2014,771.4694,13,6.1,0,2014,1,22,4
23/01/2014,756.7675,12,4.8,0,2014,1,23,5
24/01/2014,740.7761,14.5,-0.7,0,2014,1,24,6
25/01/2014,662.3478,17.3,7.4,0,2014,1,25,7
26/01/2014,590.5665,17.3,4.3,0,2014,1,26,1
27/01/2014,702.5609,11.3,9.3,0,2014,1,27,2
28/01/2014,762.6358,8.9,5.3,0,2014,1,28,3
29/01/2014,800.059,9.5,5.5,0,2014,1,29,4
30/01/2014,776.2927,11.5,1.1,0,2014,1,30,5
31/01/2014,769.7626,11,4,0,2014,1,31,6
01/02/2014,669.2867,12,7,0,2014,2,1,7
02/02/2014,628.726,10.1,-1,0,2014,2,2,1
03/02/2014,771.9219,8.5,-2.2,0,2014,2,3,2
