FECHA,DEM,TMAX,TMIN,FEST,ANNO,MES,DIA,DIASEM
01/01/2014,1623.45132,10.7,6.2,1,2014,1,1,4
02/01/2014,1660.767164,11.5,8,0,2014,1,2,5
03/01/2014,1646.785443,13.6,8.6,0,2014,1,3,6
04/01/2014,1628.046713,12.8,7.1,0,2014,1,4,7
05/01/2014,1717.542656,11.5,3.5,0,2014,1,5,1
06/01/2014,1709.41508,13.2,7.9,0,2014,1,6,2
07/01/2014,1628.769628,13.3,9.2,0,2014,1,7,3
08/01/2014,1584.284347,13.9,7.6,0,2014,1,8,4
09/01/2014,1688.545048,11.1,9,0,2014,1,9,5
10/01/2014,1802.76634,6.4,3.8,0,2014,1,10,6
11/01/2014,1698.659164,10.1,3.6,0,2014,1,11,7
12/01/2014,1766.636988,8.1,0.2,0,2014,1,12,1
13/01/2014,1893.231494,10.8,5.2,0,2014,1,13,2
14/01/2014,2027.571729,8.5,2.8,0,2014,1,14,3
15/01/2014,1996.543758,8.5,1.3,0,2014,1,15,4
16/01/2014,1885.262709,10.1,7.6,0,2014,1,16,5
17/01/2014,1846.161331,11,5.7,0,2014,1,17,6
18/01/2014,1710.634701,11.5,2.4,0,2014,1,18,7
19/01/2014,1750.89122,10.2,5,0,2014,1,19,1
20/01/2014,2053.548575,7.7,4.2,0,2014,1,20,2
21/01/2014,2159.378042,3.5,0.9,0,2014,1,21,3
22/01/2014,2157.665655,5.2,0.5,0,2014,1,22,4
23/01/2014,2070.423832,9.1,3.9,0,2014,1,23,5
24/01/2014,2035.328958,7.3,2.6,0,2014,1,24,6
25/01/2014,1853.95762,9.6,2.8,0,2014,1,25,7
26/01/2014,1808.498633,9.8,1.8,0,2014,1,26,1
27/01/2014,2139.013001,8,2.8,0,2014,1,27,2
28/01/2014,2157.415981,6.7,2.4,0,2014,1,28,3
29/01/2014,2159.227024,5.2,3.5,0,2014,1,29,4
30/01/2014,2144.709404,6.5,3.2,0,2014,1,30,5
31/01/2014,2083.255146,8.5,-0.2,0,2014,1,31,6
01/02/2014,1898.832605,9,5.8,0,2014,2,1,7
02/02/2014,1923.871689,9.3,1.6,0,2014,2,2,1
03/02/2014,2100.31106,8.9,0,0,2014,2,3,2
04/02/2014,2028.301968,9.9,3.5,0,2014,2,4,3
05/02/2014,2024.471627,10.1,5.2,0,2014,2,5,4
06/02/2014,1878.336848,13.4,5.3,0,2014,2,6,5
07/02/2014,1817.506093,11,7.5,0,2014,2,7,6
08/02/2014,1795.813254,9.3,3.6,0,2014,2,8,7
09/02/2014,1822.340234,9.2,3.8,0,2014,2,9,1
10/02/2014,2013.601972,9.5,3.7,0,2014,2,10,2
11/02/2014,2090.096467,7.9,2,0,2014,2,11,3
12/02/2014,2000.987987,9.3,1.4,0,2014,2,12,4
13/02/2014,2001.32048,8.8,5.1,0,2014,2,13,5
14/02/2014,1836.83614,13.5,2.7,0,2014,2,14,6
15/02/2014,1623.695724,11,8.5,0,2014,2,15,7
16/02/2014,1685.924685,10.8,4.6,0,2014,2,16,1
17/02/2014,1858.104847,11.1,3,0,2014,2,17,2
18/02/2014,1842.6639,8.9,2.8,0,2014,2,18,3
19/02/2014,1747.442241,12.2,4.6,0,2014,2,19,4
20/02/2014,1700.383243,11,7.8,0,2014,2,20,5
21/02/2014,1781.013536,10.7,5.6,0,2014,2,21,6
22/02/2014,1654.277707,10.6,3.9,0,2014,2,22,7
23/02/2014,1555.375017,12.8,4.3,0,2014,2,23,1
24/02/2014,1624.134252,14.8,3,0,2014,2,24,2
25/02/2014,1718.996593,12.7,7.9,0,2014,2,25,3
26/02/2014,1826.862765,11.4,4.7,0,2014,2,26,4
27/02/2014,1919.632564,10.7,3.3,0,2014,2,27,5
28/02/2014,1920.005839,10,3.8,0,2014,2,28,6
01/03/2014,1790.186586,9.1,3.1,0,2014,3,1,7
