FECHA,DEM,TMAX,TMIN,FEST,ANNO,MES,DIA,DIASEM
01/01/2014,7.95593333333333,15.9,8.3,1,2014,1,1,4
02/01/2014,9.27551666666667,16.8,7.2,0,2014,1,2,5
03/01/2014,9.40728333333333,17.4,9.1,0,2014,1,3,6
04/01/2014,8.8997,17.1,10.6,0,2014,1,4,7
05/01/2014,8.53616666666667,17.4,9.3,0,2014,1,5,1
06/01/2014,8.10996666666667,17.1,7.4,1,2014,1,6,2
07/01/2014,9.41703333333333,20.1,7.5,0,2014,1,7,3
08/01/2014,9.51511666666667,19.1,11.1,0,2014,1,8,4
09/01/2014,9.58891666666667,11.7,8.1,0,2014,1,9,5
10/01/2014,9.37975,15.7,8.7,0,2014,1,10,6
11/01/2014,8.75053333333333,16.9,8.4,0,2014,1,11,7
12/01/2014,8.17218333333333,16.6,8.1,0,2014,1,12,1
13/01/2014,9.33353333333333,16.8,8.3,0,2014,1,13,2
14/01/2014,9.50915,14.2,10.9,0,2014,1,14,3
15/01/2014,9.4242,15.5,10.3,0,2014,1,15,4
16/01/2014,9.57345,14.3,11.2,0,2014,1,16,5
17/01/2014,9.50485,14,10.1,0,2014,1,17,6
18/01/2014,8.94521666666667,13.9,10.6,0,2014,1,18,7
19/01/2014,8.42146666666667,14.4,11.3,0,2014,1,19,1
20/01/2014,9.50296666666667,14.7,11.8,0,2014,1,20,2
21/01/2014,9.65915,15.6,12.2,0,2014,1,21,3
22/01/2014,9.6427,15.2,12.3,0,2014,1,22,4
23/01/2014,9.76368333333333,14.7,11,0,2014,1,23,5
24/01/2014,9.72553333333333,13.6,10.4,0,2014,1,24,6
25/01/2014,9.09915,14.8,10.4,0,2014,1,25,7
26/01/2014,8.49326666666667,16.2,11.5,0,2014,1,26,1
27/01/2014,9.62523333333333,15.3,10.8,0,2014,1,27,2
28/01/2014,9.72796666666667,16.8,9.8,0,2014,1,28,3
29/01/2014,9.73883333333333,14.7,10.5,0,2014,1,29,4
30/01/2014,9.81405,NaN,NaN,0,2014,1,30,5
31/01/2014,9.76105,14.9,9.8,0,2014,1,31,6
01/02/2014,9.21831666666667,14.1,10.2,0,2014,2,1,7
