FECHA,DEM,TMAX,TMIN,FEST,ANNO,MES,DIA,DIASEM
01/01/2014,9.81056666666667,16.8,2.5,1,2014,1,1,4
02/01/2014,10.8661333333333,17.7,11.7,0,2014,1,2,5
03/01/2014,10.3358833333333,19.3,11.6,0,2014,1,3,6
04/01/2014,9.83418333333333,17.8,11.2,0,2014,1,4,7
05/01/2014,9.29186666666667,15.2,10.8,0,2014,1,5,1
06/01/2014,9.15465,16.9,6.8,1,2014,1,6,2
07/01/2014,10.5217333333333,17.3,5.4,0,2014,1,7,3
08/01/2014,10.66255,18.8,2.7,0,2014,1,8,4
09/01/2014,11.0183666666667,15.8,4.1,0,2014,1,9,5
10/01/2014,10.57585,18.6,9.6,0,2014,1,10,6
11/01/2014,10.0963,16.8,8.2,0,2014,1,11,7
12/01/2014,9.40386666666667,17.1,5.8,0,2014,1,12,1
13/01/2014,10.9335166666667,15.8,5,0,2014,1,13,2
14/01/2014,10.85865,15.4,2.7,0,2014,1,14,3
15/01/2014,10.98605,15,2.9,0,2014,1,15,4
16/01/2014,10.9242333333333,16.5,8.2,0,2014,1,16,5
17/01/2014,10.4362,15.5,9.7,0,2014,1,17,6
18/01/2014,10.1514333333333,17,11.5,0,2014,1,18,7
19/01/2014,9.55328333333333,15.5,8.2,0,2014,1,19,1
20/01/2014,10.4749166666667,13.9,9.7,0,2014,1,20,2
21/01/2014,11.1748333333333,15.4,4.7,0,2014,1,21,3
22/01/2014,11.8759833333333,12.8,2.9,0,2014,1,22,4
23/01/2014,11.71155,14.4,3.7,0,2014,1,23,5
24/01/2014,11.3279833333333,16.6,8.2,0,2014,1,24,6
25/01/2014,10.4600166666667,16.3,6.8,0,2014,1,25,7
26/01/2014,9.47856666666667,19.3,5.6,0,2014,1,26,1
27/01/2014,10.6611333333333,18.5,8.1,0,2014,1,27,2
28/01/2014,10.9112833333333,14.9,10.1,0,2014,1,28,3
29/01/2014,10.9854666666667,15.2,9.2,0,2014,1,29,4
30/01/2014,11.3804,12.6,4.5,0,2014,1,30,5
31/01/2014,11.2417,15,2.3,0,2014,1,31,6
01/02/2014,10.8883333333333,15.3,0.7,0,2014,2,1,7
02/02/2014,9.95901666666667,13.2,4.1,0,2014,2,2,1
